house_id,Type,Location,Area,Bath(s),Bedroom(s),Price
46326643,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,75500000
46952582,House,"Bahria Orchard, Lahore, Punjab",8 Marla,5,5,25000000
47357581,House,"Paragon City, Lahore, Punjab",10 Marla,6,5,47000000
47397157,Flat,"Askari, Lahore, Punjab",10 Marla,3,3,28000000
43109993,House,"DHA Defence, Lahore, Punjab",8 Marla,5,4,43500000
47357357,House,"Paragon City, Lahore, Punjab",10 Marla,5,4,48000000
47266757,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,4,18000000
46600922,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,4,18000000
46600920,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,4,18000000
47397026,House,"Bahria Orchard, Lahore, Punjab",10 Marla,5,5,37000000
47341671,House,"Khayaban-e-Amin, Lahore, Punjab",5 Marla,2,2,6900000
47397153,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,27200000
36632892,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,37000000
47266753,House,"Bahria Orchard, Lahore, Punjab",8 Marla,4,4,25000000
47179318,House,"Nishtar Colony, Lahore, Punjab",2.5 Marla,3,3,5500000
46982241,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,72000000
39253174,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,48500000
39150489,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,54500000
42995171,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,34900000
47252993,House,"Bahria Orchard, Lahore, Punjab",5 Marla,5,3,17500000
45253396,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,78500000
45340359,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,145000000
39321958,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,43500000
43692140,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,87000000
44267004,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,64500000
46836160,House,"Bahria Orchard, Lahore, Punjab",10 Marla,6,4,26000000
45604924,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,6,72000000
45498134,House,"DHA Defence, Lahore, Punjab",1.3 Kanal,6,6,78500000
47386620,House,"Central Park Housing Scheme, Lahore, Punjab",5 Marla,5,4,16500000
47361452,House,"Bahria Orchard, Lahore, Punjab",5 Marla,5,3,17500000
45525241,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,60000000
46643174,House,"Central Park Housing Scheme, Lahore, Punjab",5 Marla,4,4,15800000
47294448,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,57000000
46970789,House,"New Lahore City, Lahore, Punjab",3 Marla,3,3,10000000
47049303,House,"Central Park Housing Scheme, Lahore, Punjab",5 Marla,4,4,15500000
36632889,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,35000000
45438785,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,88800000
46600927,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,4,18000000
39150483,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,42500000
38893238,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,42500000
38893313,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,39700000
47371331,House,"Bahria Nasheman, Lahore, Punjab",5 Marla,5,3,15000000
44586079,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,37500000
47362042,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,34000000
47009351,House,"DHA Defence, Lahore, Punjab",10 Marla,6,4,38500000
47166328,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,6,149000000
47396927,House,"DHA Defence, Lahore, Punjab",10 Marla,4,4,39500000
47377360,House,"Central Park Housing Scheme, Lahore, Punjab",8 Marla,5,4,20000000
47396930,House,"DHA Defence, Lahore, Punjab",10 Marla,4,4,41000000
47396934,House,"DHA Defence, Lahore, Punjab",10 Marla,4,4,39000000
47396928,House,"DHA Defence, Lahore, Punjab",10 Marla,4,4,40000000
47396939,House,"DHA Defence, Lahore, Punjab",10 Marla,4,4,46500000
47396940,House,"DHA Defence, Lahore, Punjab",10 Marla,4,4,44500000
47396941,House,"DHA Defence, Lahore, Punjab",10 Marla,4,4,45000000
46846231,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,32000000
46948106,House,"Bahria Town, Lahore, Punjab",5 Marla,3,3,16200000
46524780,House,"Eden, Lahore, Punjab",4 Marla,2,3,6600000
46711626,Flat,"Bahria Orchard, Lahore, Punjab",5 Marla,1,2,5000000
46074559,House,"Khayaban-e-Amin, Lahore, Punjab",5 Marla,1,2,7200000
46719765,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,77000000
46711657,House,"Bahria Orchard, Lahore, Punjab",5 Marla,3,3,7500000
47396909,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,91000000
47396915,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,72000000
47396918,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,82500000
47396929,House,"DHA Defence, Lahore, Punjab",10 Marla,4,4,40500000
47396908,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,72500000
47396907,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,105000000
47314757,Flat,"Askari, Lahore, Punjab",12 Marla,6,4,30500000
47396919,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,72000000
47394344,Flat,"Askari, Lahore, Punjab",12 Marla,6,4,31500000
43531738,House,"DHA Defence, Lahore, Punjab",1 Kanal,7,6,89500000
47393514,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,115000000
47394343,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,34000000
47242994,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,24500000
47337240,Flat,"DHA Defence, Lahore, Punjab",5 Marla,2,1,32000000
47396910,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,70000000
46297900,House,"State Life Housing Society, Lahore, Punjab",1 Kanal,6,5,64500000
46907014,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,46000000
45624689,House,"DHA Defence, Lahore, Punjab",5 Marla,5,4,19500000
47378361,House,"DHA Defence, Lahore, Punjab",1.1 Kanal,6,6,71000000
45621734,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,45000000
46968721,House,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",5 Marla,4,3,15000000
46955326,House,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",9 Marla,6,5,25000000
45621739,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,47000000
43759880,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,46000000
47390105,House,"Bahria Town, Lahore, Punjab",5 Marla,5,5,36500000
42300822,House,"DHA Defence, Lahore, Punjab",10 Marla,6,5,52500000
47364369,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,11500000
47111268,House,"Bahria Town, Lahore, Punjab",6.1 Marla,4,3,16500000
47006229,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,5,247500000
46996019,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,7,420000000
47272581,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,67000000
45729623,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,20500000
45731709,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,20600000
45724681,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,19700000
45724679,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,19600000
45711353,House,"DHA Defence, Lahore, Punjab",5 Marla,6,5,19600000
45724684,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,19300000
45729327,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,20300000
45640064,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,19600000
42745179,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,47500000
46066104,House,"Johar Town, Lahore, Punjab",10 Marla,6,5,46500000
47015586,House,"Highcourt Society, Lahore, Punjab",4 Marla,4,3,11500000
46993895,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,63000000
47309420,House,"Thokar Niaz Baig, Lahore, Punjab",3 Marla,3,3,8100000
46896823,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,4,12600000
46904285,House,"Military Accounts Housing Society, Lahore, Punjab",4 Marla,3,3,15000000
